user_id,country,gender,user_device,test_group,converted,total_spent,join_dt,dated
1029297,DEU,M,,B,0,0,1/27/2023,
1025880,BRA,M,,B,0,0,1/30/2023,
1036361,MEX,M,,B,0,0,1/26/2023,
1033048,DEU,O,,B,0,0,1/25/2023,
1017992,USA,n/a,,A,0,0,2/1/2023,
1035018,MEX,F,I,B,1,188.95,1/30/2023,1/30/2023
1006856,USA,M,,A,0,0,1/30/2023,
1026429,TUR,F,U,A,1,53.05,1/28/2023,1/28/2023
1018881,USA,M,,B,0,0,1/27/2023,
1011654,MEX,M,,B,0,0,1/25/2023,
1047050,MEX,F,,B,0,0,1/28/2023,
1019666,BRA,F,,A,0,0,1/28/2023,
1049997,BRA,M,,B,0,0,2/3/2023,
1024364,AUS,F,,A,0,0,1/29/2023,
1010082,USA,M,,B,0,0,1/25/2023,
1041275,MEX,M,,A,0,0,1/25/2023,
1026325,TUR,M,,A,0,0,2/3/2023,
1014157,USA,n/a,,A,0,0,1/28/2023,
1013502,MEX,M,,A,0,0,2/6/2023,
1037231,MEX,F,,B,0,0,1/29/2023,
1046607,DEU,F,,A,0,0,1/31/2023,
1014938,,F,,B,0,0,1/25/2023,
1047171,USA,F,,B,0,0,1/25/2023,
1028751,USA,M,,A,0,0,1/25/2023,
1004978,BRA,M,,A,0,0,1/29/2023,
1044410,USA,F,,A,0,0,1/31/2023,
1030059,USA,n/a,A,A,1,26.68,1/25/2023,1/25/2023
1027699,FRA,F,,A,0,0,1/27/2023,
1029590,USA,F,,A,0,0,1/28/2023,
1016310,FRA,M,,B,0,0,1/26/2023,
1028810,USA,M,,B,0,0,1/25/2023,
1021468,BRA,n/a,,B,0,0,1/25/2023,
1011264,BRA,O,,A,0,0,1/30/2023,
1001468,AUS,M,,B,0,0,1/26/2023,
1002443,GBR,F,,A,0,0,1/26/2023,
1048995,TUR,n/a,,B,0,0,1/25/2023,
1007472,USA,F,,A,0,0,1/27/2023,
1048502,BRA,M,,A,0,0,1/25/2023,
1028451,USA,F,,B,0,0,1/29/2023,
1020907,BRA,M,,A,0,0,1/25/2023,
1046455,USA,F,,B,0,0,1/25/2023,
1045061,TUR,F,,B,0,0,1/27/2023,
1037005,USA,F,,B,0,0,1/26/2023,
1019700,BRA,M,,B,0,0,1/29/2023,
1010890,MEX,F,,B,0,0,1/26/2023,
1001175,FRA,F,,B,0,0,1/31/2023,
1031460,MEX,F,,A,0,0,1/26/2023,
1006287,AUS,M,,B,0,0,2/5/2023,
1046226,USA,M,,A,0,0,1/28/2023,
1010057,USA,F,I,A,1,35.21,1/27/2023,1/27/2023
1008196,USA,M,,B,0,0,1/25/2023,
1021432,MEX,M,,B,0,0,1/26/2023,
1001267,GBR,F,,A,0,0,1/26/2023,
1042686,BRA,F,,B,0,0,1/31/2023,
1042608,AUS,n/a,,A,0,0,1/29/2023,
1038255,AUS,F,,A,0,0,1/27/2023,
1009261,TUR,M,,B,0,0,1/25/2023,
1022065,USA,F,,A,0,0,1/27/2023,
1000420,USA,F,,A,0,0,2/1/2023,
1043763,BRA,n/a,A,B,1,9.42751653,2/3/2023,2/6/2023
1040297,FRA,M,,A,0,0,1/25/2023,
1030980,FRA,F,,B,0,0,1/30/2023,
1010526,USA,M,,B,0,0,2/1/2023,
1046144,BRA,M,,A,0,0,1/27/2023,
1026555,USA,M,,B,0,0,1/28/2023,
1021172,USA,M,,B,0,0,2/3/2023,
1014386,BRA,M,,B,0,0,1/28/2023,
1039151,AUS,F,,A,0,0,1/28/2023,
1021388,USA,F,,A,0,0,1/26/2023,
1045670,TUR,M,,A,0,0,2/3/2023,
1003762,GBR,F,,A,0,0,1/26/2023,
1022740,MEX,M,,B,0,0,1/25/2023,
1041099,FRA,F,,B,0,0,1/25/2023,
1046463,USA,M,I,A,1,84.14,1/26/2023,1/26/2023
1040280,USA,M,,B,0,0,1/29/2023,
1036649,BRA,M,,A,0,0,1/29/2023,
1043641,USA,n/a,,A,0,0,2/3/2023,
1047731,FRA,n/a,,A,0,0,1/27/2023,
1027409,USA,n/a,,B,0,0,2/3/2023,
1038101,CAN,M,,B,0,0,2/3/2023,
1027165,GBR,F,,B,0,0,1/30/2023,
1003740,DEU,F,,A,0,0,1/25/2023,
1048944,BRA,F,,A,0,0,1/27/2023,
1046930,TUR,M,,A,0,0,2/4/2023,
1032396,BRA,F,,B,0,0,1/27/2023,
1031360,DEU,O,,B,0,0,1/25/2023,
1017178,MEX,F,,B,0,0,1/26/2023,
1045200,USA,M,,A,0,0,1/28/2023,
1036637,TUR,F,,B,0,0,1/31/2023,
1023002,TUR,F,,A,0,0,2/1/2023,
1024821,USA,M,,B,0,0,1/31/2023,
1016238,USA,M,,B,0,0,1/25/2023,
1009602,GBR,M,,B,0,0,2/5/2023,
1007094,DEU,M,,A,0,0,1/25/2023,
1028636,BRA,M,,B,0,0,1/26/2023,
1000242,BRA,M,,B,0,0,1/27/2023,
1010466,USA,F,,B,0,0,1/28/2023,
1007951,BRA,n/a,,B,0,0,1/31/2023,
1001959,BRA,F,,B,0,0,1/28/2023,
1048133,MEX,F,,A,0,0,1/26/2023,
1035694,TUR,O,,A,0,0,1/27/2023,
1039670,MEX,n/a,,B,0,0,1/25/2023,
1045816,GBR,F,,B,0,0,1/31/2023,
1025544,MEX,F,,B,0,0,1/29/2023,
1015922,CAN,n/a,,B,0,0,2/1/2023,
1040949,MEX,F,,A,0,0,1/27/2023,
1034763,MEX,M,,B,0,0,2/2/2023,
1021562,CAN,n/a,,B,0,0,1/25/2023,
1004054,DEU,F,,B,0,0,1/26/2023,
1035281,USA,F,,B,0,0,1/26/2023,
1008121,DEU,M,,B,0,0,2/6/2023,
1023009,BRA,M,,A,0,0,1/29/2023,
1045709,,O,,A,0,0,1/26/2023,
1033579,BRA,F,,B,0,0,2/1/2023,
1009650,MEX,F,,A,0,0,2/6/2023,
1002296,TUR,F,,B,0,0,1/25/2023,
1030900,USA,M,,B,0,0,1/29/2023,
1006762,BRA,F,,B,0,0,1/29/2023,
1005897,BRA,F,,A,0,0,1/26/2023,
1009366,USA,M,,B,0,0,1/25/2023,
1028924,BRA,M,,B,0,0,1/25/2023,
1005153,BRA,M,,B,0,0,1/29/2023,
1011875,GBR,F,,B,0,0,1/26/2023,
1041840,BRA,M,,A,0,0,1/27/2023,
1039113,BRA,F,,A,0,0,1/26/2023,
1020140,USA,F,A,A,1,34.42760475,1/26/2023,2/1/2023
1025339,ESP,F,,B,0,0,1/28/2023,
1025154,FRA,F,,A,0,0,1/26/2023,
1047734,USA,n/a,,B,0,0,1/27/2023,
1035152,BRA,M,,B,0,0,1/25/2023,
1030921,MEX,n/a,,A,0,0,1/31/2023,
1020212,CAN,M,,B,0,0,1/29/2023,
1012498,ESP,M,,B,0,0,1/29/2023,
1036066,USA,F,,B,0,0,1/25/2023,
1032218,USA,M,,B,0,0,1/25/2023,
1019996,FRA,F,,A,0,0,2/4/2023,
1042155,USA,M,,A,0,0,1/27/2023,
1048000,CAN,M,,A,0,0,1/25/2023,
1032753,BRA,n/a,,B,0,0,1/27/2023,
1049320,GBR,F,,B,0,0,1/31/2023,
1046866,USA,F,,A,0,0,1/26/2023,
1028949,MEX,M,,A,0,0,1/26/2023,
1039954,USA,O,,B,0,0,1/25/2023,
1037169,USA,n/a,,A,0,0,1/26/2023,
1028571,DEU,F,,A,0,0,1/25/2023,
1011748,MEX,M,,B,0,0,1/26/2023,
1012307,GBR,n/a,,B,0,0,2/5/2023,
1024676,BRA,F,I,B,1,37.45,1/26/2023,1/26/2023
1031479,ESP,F,,A,0,0,1/26/2023,
1013453,BRA,F,,A,0,0,1/29/2023,
1046508,USA,F,,B,0,0,1/25/2023,
1027443,DEU,F,,A,0,0,1/29/2023,
1014692,FRA,n/a,,A,0,0,1/25/2023,
1026730,BRA,F,,B,0,0,2/4/2023,
1015304,MEX,F,,A,0,0,2/2/2023,
1014211,BRA,F,,A,0,0,1/28/2023,
1033137,USA,M,,B,0,0,1/28/2023,
1022711,BRA,M,,B,0,0,1/26/2023,
1027890,FRA,F,,B,0,0,1/26/2023,
1026645,TUR,M,,A,0,0,1/29/2023,
1002398,TUR,M,,B,0,0,1/29/2023,
1003475,MEX,F,,B,0,0,1/25/2023,
1048522,GBR,F,,A,0,0,1/25/2023,
1038133,USA,M,,B,0,0,1/25/2023,
1022218,BRA,n/a,,B,0,0,1/26/2023,
1042093,ESP,F,,B,0,0,1/29/2023,
1024663,USA,M,,B,0,0,1/27/2023,
1006004,BRA,M,,A,0,0,2/6/2023,
1040232,TUR,M,,B,0,0,2/1/2023,
1001375,BRA,M,,A,0,0,2/4/2023,
1034419,MEX,F,,B,0,0,2/1/2023,
1032609,FRA,F,,A,0,0,1/25/2023,
1035036,MEX,M,,B,0,0,1/25/2023,
1033144,TUR,M,,A,0,0,2/2/2023,
1012935,USA,F,,A,0,0,1/27/2023,
1001671,USA,M,,A,0,0,1/25/2023,
1049493,ESP,F,,A,0,0,1/26/2023,
1049375,USA,F,,A,0,0,1/27/2023,
1043399,DEU,F,,A,0,0,1/27/2023,
1031446,USA,F,,A,0,0,1/26/2023,
1038806,USA,M,,B,0,0,1/25/2023,
1013958,BRA,F,,A,0,0,1/25/2023,
1021481,GBR,F,,B,0,0,1/27/2023,
1006854,BRA,F,,B,0,0,1/29/2023,
1035479,TUR,M,,B,0,0,1/25/2023,
1020782,MEX,n/a,,A,0,0,2/3/2023,
1045388,FRA,n/a,,B,0,0,1/28/2023,
1035552,USA,M,,A,0,0,1/29/2023,
1024209,USA,M,,A,0,0,2/1/2023,
1033641,TUR,F,,A,0,0,1/25/2023,
1002214,FRA,M,,A,0,0,1/27/2023,
1025089,USA,O,,A,0,0,1/27/2023,
1039780,MEX,F,,B,0,0,1/26/2023,
1005681,MEX,F,,B,0,0,1/25/2023,
1038456,MEX,F,,B,0,0,1/27/2023,
1033019,MEX,M,,B,0,0,1/25/2023,
1016053,MEX,F,,B,0,0,1/25/2023,
1048151,ESP,M,,B,0,0,1/27/2023,
1022690,TUR,F,,B,0,0,1/31/2023,
1010513,MEX,F,,A,0,0,1/25/2023,
1013564,BRA,F,,A,0,0,1/29/2023,
1041296,BRA,n/a,,B,0,0,1/31/2023,
1032543,TUR,M,,A,0,0,1/26/2023,
1024164,BRA,M,,B,0,0,1/26/2023,
1008497,USA,M,A,B,1,15.1867369,2/5/2023,2/6/2023
1025143,USA,F,,B,0,0,1/25/2023,
1042309,MEX,M,,B,0,0,2/6/2023,
1041546,USA,n/a,,B,0,0,1/28/2023,
1019636,GBR,F,,A,0,0,1/25/2023,
1004941,TUR,M,,A,0,0,1/27/2023,
1046523,TUR,F,,B,0,0,1/30/2023,
1023787,MEX,F,,B,0,0,1/25/2023,
1006666,MEX,M,,A,0,0,1/26/2023,
1046634,GBR,M,,B,0,0,1/26/2023,
1039530,USA,n/a,,A,0,0,2/2/2023,
1001713,FRA,M,,A,0,0,1/26/2023,
1044238,BRA,F,I,A,1,109.89,1/29/2023,1/29/2023
1013965,USA,F,,A,0,0,1/27/2023,
1039242,BRA,F,,A,0,0,2/1/2023,
1021264,USA,M,,A,0,0,1/26/2023,
1016497,USA,O,,B,0,0,2/3/2023,
1048959,BRA,n/a,,A,0,0,2/5/2023,
1023605,MEX,F,,B,0,0,1/29/2023,
1030952,GBR,F,,A,0,0,1/26/2023,
1038684,DEU,M,,B,0,0,1/26/2023,
1047747,BRA,n/a,,A,0,0,1/27/2023,
1010960,AUS,n/a,,B,0,0,1/29/2023,
1049196,GBR,F,,A,0,0,1/27/2023,
1023882,BRA,F,,A,0,0,1/31/2023,
1010059,BRA,n/a,,A,0,0,1/30/2023,
1042162,DEU,F,,A,0,0,1/25/2023,
1049046,BRA,F,,A,0,0,1/27/2023,
1025517,GBR,M,,B,0,0,1/25/2023,
1004297,FRA,F,,B,0,0,2/4/2023,
1001963,USA,F,,B,0,0,1/27/2023,
1020981,USA,F,,A,0,0,1/25/2023,
1040800,DEU,F,,B,0,0,1/26/2023,
1049953,DEU,F,,A,0,0,2/1/2023,
1007790,USA,F,,A,0,0,1/25/2023,
1024572,USA,M,,A,0,0,1/27/2023,
1006048,BRA,F,,A,0,0,2/6/2023,
1002418,BRA,n/a,,A,0,0,1/26/2023,
1048223,FRA,n/a,,B,0,0,1/25/2023,
1025655,FRA,F,,A,0,0,1/26/2023,
1011109,ESP,n/a,,B,0,0,1/25/2023,
1021052,USA,F,,A,0,0,1/29/2023,
1033700,TUR,M,,B,0,0,2/3/2023,
1039201,MEX,M,,B,0,0,1/29/2023,
1037110,BRA,M,,A,0,0,1/30/2023,
1013854,TUR,M,,B,0,0,1/26/2023,
1019905,BRA,F,,A,0,0,1/27/2023,
1007990,BRA,F,,B,0,0,1/25/2023,
1007944,BRA,F,,B,0,0,1/25/2023,
1012192,BRA,M,,A,0,0,1/25/2023,
1008972,BRA,n/a,,A,0,0,1/26/2023,
1028820,USA,M,,B,0,0,1/28/2023,
1036294,BRA,F,,A,0,0,1/26/2023,
1045586,USA,F,,A,0,0,1/29/2023,
1037523,MEX,F,A,B,1,31.55,1/26/2023,1/26/2023
1037112,FRA,F,,B,0,0,1/29/2023,
1034951,MEX,M,,B,0,0,1/28/2023,
1017709,USA,F,,B,0,0,2/3/2023,
1034809,USA,F,,B,0,0,1/31/2023,
1021981,BRA,M,,A,0,0,1/27/2023,
1009799,FRA,F,,A,0,0,1/29/2023,
1039790,MEX,n/a,,A,0,0,1/27/2023,
1040120,ESP,M,,B,0,0,1/31/2023,
1010569,GBR,F,,A,0,0,2/3/2023,
1033546,BRA,F,,A,0,0,2/4/2023,
1000416,USA,M,,A,0,0,2/5/2023,
1030467,USA,F,,A,0,0,2/1/2023,
1003249,BRA,n/a,,A,0,0,2/3/2023,
1029709,USA,M,I,A,1,48.24,2/3/2023,2/3/2023
1023609,USA,F,,A,0,0,1/29/2023,
1029750,BRA,M,,A,0,0,2/3/2023,
1017436,USA,n/a,,B,0,0,1/25/2023,
1049232,USA,M,,A,0,0,1/31/2023,
1021421,USA,M,,A,0,0,1/26/2023,
1044650,AUS,F,,A,0,0,1/27/2023,
1029329,USA,M,,A,0,0,1/27/2023,
1026473,TUR,n/a,,B,0,0,1/29/2023,
1016171,FRA,F,,B,0,0,2/3/2023,
1041065,BRA,M,,A,0,0,1/28/2023,
1020423,GBR,F,,A,0,0,1/25/2023,
1014388,BRA,M,,A,0,0,1/25/2023,
1047738,USA,F,I,A,1,46.94,1/28/2023,1/28/2023
1037718,USA,M,,B,0,0,1/25/2023,
1018885,MEX,M,,B,0,0,2/3/2023,
1037660,USA,F,,B,0,0,1/27/2023,
1033695,USA,M,,A,0,0,1/29/2023,
1047906,AUS,M,,B,0,0,1/29/2023,
1012920,USA,F,,A,0,0,1/26/2023,
1009605,USA,M,,B,0,0,2/4/2023,
1028973,MEX,n/a,,B,0,0,2/2/2023,
1018842,CAN,F,,B,0,0,1/29/2023,
1042664,GBR,M,,A,0,0,1/25/2023,
1017376,CAN,F,,B,0,0,2/6/2023,
1043834,ESP,F,,B,0,0,1/27/2023,
1038982,USA,F,,B,0,0,2/1/2023,
1044748,BRA,F,,A,0,0,2/4/2023,
1044347,BRA,M,,A,0,0,1/31/2023,
1038928,USA,F,,A,0,0,1/27/2023,
1041381,GBR,F,,A,0,0,1/27/2023,
1046751,USA,F,,A,0,0,1/25/2023,
1039874,MEX,F,,B,0,0,1/26/2023,
1016701,,M,,B,0,0,1/27/2023,
1036791,GBR,M,,B,0,0,2/3/2023,
1029861,USA,M,,A,0,0,2/2/2023,
1017159,BRA,M,,A,0,0,1/28/2023,
1034149,TUR,F,,A,0,0,1/29/2023,
1041589,USA,n/a,,B,0,0,1/31/2023,
1037349,USA,O,,A,0,0,1/29/2023,
1037191,GBR,M,,A,0,0,1/25/2023,
1030568,BRA,F,,B,0,0,1/25/2023,
1025330,USA,F,,B,0,0,1/26/2023,
1002098,DEU,M,,B,0,0,1/25/2023,
1030140,FRA,M,,A,0,0,2/4/2023,
1039659,AUS,F,,A,0,0,1/28/2023,
1027549,DEU,M,,A,0,0,1/30/2023,
1042297,FRA,n/a,,B,0,0,1/26/2023,
1010615,AUS,F,,B,0,0,1/28/2023,
1014419,USA,O,,A,0,0,1/26/2023,
1028230,BRA,M,,A,0,0,1/25/2023,
1005074,BRA,M,,A,0,0,2/2/2023,
1045440,BRA,M,,B,0,0,2/6/2023,
1018135,BRA,F,,B,0,0,1/25/2023,
1048714,FRA,M,,A,0,0,2/6/2023,
1018078,FRA,F,,B,0,0,1/25/2023,
1016604,FRA,M,,B,0,0,1/25/2023,
1029118,TUR,M,,A,0,0,1/27/2023,
1012318,MEX,F,,A,0,0,1/31/2023,
1014660,TUR,F,,B,0,0,1/27/2023,
1003294,MEX,n/a,,A,0,0,1/26/2023,
1002803,TUR,O,,A,0,0,1/31/2023,
1010239,FRA,M,,B,0,0,1/25/2023,
1042169,USA,M,,A,0,0,1/29/2023,
1033267,USA,F,,B,0,0,1/26/2023,
1037319,USA,M,,B,0,0,2/6/2023,
1039687,FRA,n/a,,B,0,0,1/25/2023,
1009726,MEX,M,,B,0,0,1/26/2023,
1040633,ESP,n/a,,A,0,0,1/25/2023,
1047173,USA,F,,A,0,0,1/25/2023,
1045525,USA,F,,A,0,0,2/3/2023,
1004747,USA,F,,B,0,0,1/26/2023,
1044386,MEX,M,,B,0,0,1/27/2023,
1029936,BRA,M,,B,0,0,2/3/2023,
1030354,USA,M,,A,0,0,2/5/2023,
1026057,BRA,M,,A,0,0,1/26/2023,
1002187,FRA,n/a,,A,0,0,1/28/2023,
1043745,MEX,M,,B,0,0,1/25/2023,
1016910,GBR,M,,A,0,0,1/25/2023,
1041139,FRA,M,,B,0,0,1/30/2023,
1032020,ESP,M,,B,0,0,1/30/2023,
1031393,AUS,F,,A,0,0,1/25/2023,
1020436,TUR,n/a,,A,0,0,1/29/2023,
1041010,TUR,M,I,A,1,44.52,1/28/2023,1/28/2023
1016206,ESP,n/a,,A,0,0,1/25/2023,
1001176,BRA,F,,A,0,0,1/27/2023,
1024845,TUR,M,,B,0,0,1/29/2023,
1031211,FRA,M,,B,0,0,1/26/2023,
1023304,,O,,B,0,0,2/4/2023,
1014469,TUR,F,,A,0,0,2/4/2023,
1045175,USA,M,,B,0,0,1/26/2023,
1012252,,F,,B,0,0,1/26/2023,
1001166,BRA,M,,A,0,0,1/30/2023,
1010942,MEX,M,,B,0,0,1/29/2023,
1030995,GBR,F,,A,0,0,1/26/2023,
1011263,USA,M,,A,0,0,2/1/2023,
1024919,BRA,F,,B,0,0,1/27/2023,
1017919,BRA,n/a,,B,0,0,1/27/2023,
1019451,USA,M,,A,0,0,1/27/2023,
1020142,USA,M,,B,0,0,1/27/2023,
1038386,USA,M,,B,0,0,2/2/2023,
1031843,TUR,O,,A,0,0,1/26/2023,
1049348,ESP,M,,B,0,0,1/27/2023,
1046411,BRA,M,,B,0,0,2/2/2023,
1043172,FRA,n/a,,A,0,0,1/28/2023,
1028952,TUR,F,,A,0,0,2/5/2023,
1013506,USA,F,,A,0,0,1/27/2023,
1044244,FRA,F,,A,0,0,2/2/2023,
1035478,,M,,B,0,0,1/30/2023,
1010793,BRA,n/a,,B,0,0,1/25/2023,
1003683,MEX,M,,A,0,0,1/28/2023,
1011633,FRA,M,,B,0,0,1/29/2023,
1002872,DEU,O,,A,0,0,1/30/2023,
1040900,BRA,n/a,,A,0,0,1/31/2023,
1024965,TUR,M,,A,0,0,1/28/2023,
1005542,BRA,F,,B,0,0,2/2/2023,
1047821,DEU,M,,B,0,0,2/4/2023,
1044264,AUS,F,,A,0,0,1/28/2023,
1030520,ESP,O,,A,0,0,1/28/2023,
1020489,USA,F,,A,0,0,1/25/2023,
1017655,FRA,n/a,,B,0,0,1/25/2023,
1014101,USA,F,,B,0,0,1/25/2023,
1011856,BRA,M,,B,0,0,1/27/2023,
1009174,BRA,O,,A,0,0,2/6/2023,
1041853,BRA,F,,B,0,0,1/30/2023,
1019947,ESP,M,,A,0,0,1/25/2023,
1008958,USA,F,,B,0,0,1/26/2023,
1008730,USA,M,,B,0,0,1/30/2023,
1044574,BRA,F,,A,0,0,1/28/2023,
1017145,BRA,F,,A,0,0,1/25/2023,
1027345,DEU,F,,B,0,0,1/28/2023,
1015134,ESP,F,,A,0,0,1/26/2023,
1014424,BRA,n/a,,A,0,0,1/29/2023,
1040042,BRA,F,,B,0,0,1/27/2023,
1013812,USA,F,,B,0,0,1/28/2023,
1032433,BRA,M,,B,0,0,1/30/2023,
1047191,USA,n/a,,B,0,0,1/31/2023,
1001822,BRA,F,,A,0,0,1/27/2023,
1012597,DEU,M,,B,0,0,1/26/2023,
1049713,AUS,M,,B,0,0,1/26/2023,
1000486,DEU,M,,B,0,0,1/25/2023,
1003773,USA,M,,A,0,0,2/2/2023,
1004154,BRA,O,,A,0,0,1/31/2023,
1028097,FRA,M,,B,0,0,1/27/2023,
1035907,MEX,F,,A,0,0,1/31/2023,
1006365,USA,F,A,A,1,33.83,1/26/2023,1/26/2023
1045072,ESP,F,,A,0,0,1/25/2023,
1019447,BRA,F,,B,0,0,2/4/2023,
1008866,GBR,F,,B,0,0,1/27/2023,
1028635,BRA,n/a,,A,0,0,1/25/2023,
1027757,MEX,F,,B,0,0,1/27/2023,
1025842,USA,M,,A,0,0,1/26/2023,
1006626,USA,F,,B,0,0,1/30/2023,
1004245,MEX,F,,A,0,0,2/2/2023,
1027483,USA,M,,B,0,0,1/30/2023,
1001370,BRA,F,,A,0,0,1/27/2023,
1029914,DEU,M,,B,0,0,1/31/2023,
1033404,BRA,M,,A,0,0,1/25/2023,
1034939,BRA,F,,A,0,0,2/3/2023,
1014065,DEU,F,,A,0,0,1/25/2023,
1008199,USA,M,,A,0,0,1/26/2023,
1046895,BRA,F,,A,0,0,2/1/2023,
1001271,MEX,M,,B,0,0,1/25/2023,
1032427,BRA,F,,B,0,0,1/25/2023,
1024139,BRA,F,A,A,1,121.86,1/28/2023,1/30/2023
1009565,USA,F,,A,0,0,1/27/2023,
1008463,BRA,M,,A,0,0,1/28/2023,
1044149,BRA,n/a,,A,0,0,1/25/2023,
1044853,BRA,M,,A,0,0,2/4/2023,
1040594,GBR,F,,A,0,0,2/5/2023,
1006693,DEU,M,,A,0,0,2/1/2023,
1019779,USA,M,,A,0,0,1/29/2023,
1021050,FRA,M,,A,0,0,2/5/2023,
1037506,MEX,M,,B,0,0,1/25/2023,
1039518,USA,F,,B,0,0,2/6/2023,
1020117,MEX,F,,A,0,0,2/1/2023,
1025986,MEX,M,,A,0,0,1/30/2023,
1045884,BRA,M,,A,0,0,1/26/2023,
1008541,MEX,M,,B,0,0,1/25/2023,
1027615,BRA,n/a,,B,0,0,1/28/2023,
1022578,MEX,M,,A,0,0,1/25/2023,
1008109,GBR,F,,B,0,0,1/29/2023,
1026738,FRA,M,,B,0,0,1/31/2023,
1011355,FRA,M,,B,0,0,1/26/2023,
1042895,MEX,F,,A,0,0,1/26/2023,
1025401,GBR,n/a,,A,0,0,2/5/2023,
1038422,USA,F,,A,0,0,1/29/2023,
1041639,USA,F,,B,0,0,1/28/2023,
1046983,BRA,M,,A,0,0,1/28/2023,
1033521,USA,M,,A,0,0,2/3/2023,
1041227,USA,M,,A,0,0,1/27/2023,
1036374,MEX,n/a,,B,0,0,2/1/2023,
